Country,GDP per capita (USD),Life satisfaction
Afghanistan,19705.602,2.5229
Albania,13191.952,5.1174
Algeria,10735.383,4.8871
Argentina,19690.662,5.9293
Armenia,12619.893,5.2826
Australia,48678.684,7.1835
Austria,51857.69,7.2678
Azerbaijan,13726.77,5.1708
Bahrain,41480.58,6.6469
Bangladesh,48714.463,5.0246
Belarus,19186.775,5.5335
Belgium,48769.727,6.834
Benin,33231.445,5.0452
Bolivia,7845.171,5.7159
Brazil,14063.982,6.3301
Cameroon,36664.106,5.1418
Canada,46064.254,7.1033
Bulgaria,22379.094,5.2655
Zambia,32778.164,4.0734
Zimbabwe,33534.114,3.1448
Vietnam,8200.332,5.4108
Uruguay,21608.43,6.4314
United Arab Emirates,63299.42,6.560
Angola,61102.744,3.795
Bermuda,76626.52,2.6689
Colombia,13448.933,6.357
Germany,51423.234,6.951
Guatemala,8393.284,6.454
Kuwait,44847.055,6.105
Morocco,69862.837,5.235
Mexico,17852.36,6.578
Netherlands,54324.383,3.847
Nicaragua,52800.996,6.071
Portugal,31961.775,5.195
Qatar,85290.45,6.375
Rusia,26456.389,5.963
Peru,11260.846,5.715
Pakistan,45626.226,5.269
Denmark,55819.91,7.522
Panama,25389.812,6.452
